Date,FullPortfolio,BuyHold_SPY
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0063251020637376
2018-01-04,1.0,1.010566602498778
2018-01-05,1.0,1.0173010787950194
2018-01-08,1.0,1.0191614672579736
2018-01-09,1.0,1.0214685393586567
2018-01-10,1.0,1.0199056612390918
2018-01-11,1.0,1.027346571825301
2018-01-12,1.0,1.034044060349121
2018-01-16,1.0,1.0305091871837306
2018-01-17,1.0,1.0403318530076335
2018-01-18,1.0,1.0385829424744295
2018-01-19,1.0,1.0433081143196203
2018-01-22,1.0,1.051791436822505
2018-01-23,1.0,1.0540235684799342
2018-01-24,1.0,1.0536145158802341
2018-01-25,1.0,1.0540610708648415
2018-01-26,1.0,1.066264527028027
2018-01-29,1.0,1.059195295309732
2018-01-30,1.0,1.0483314397738075
2018-01-31,1.000267563129199,1.0488521632829397
2018-02-01,1.0001442811696202,1.0476612213375323
2018-02-02,0.9996411071299635,1.0248537889437825
2018-02-05,0.9969716090130819,0.9819921009556485
2018-02-06,0.9986979137483899,1.00133947197414
2018-02-07,0.9974448198135166,0.99590773718586
2018-02-08,0.9948341849792409,0.9585518238574094
2018-02-09,0.9954693553559738,0.9729504882321636
2018-02-12,0.9966507666593243,0.9872379963099714
2018-02-13,0.9971848159460865,0.9896939843987509
2018-02-14,0.9976634859683051,1.003050880122437
2018-02-15,0.9979845825246003,1.0158498072583264
2018-02-16,0.998002117460589,1.0161474462548372
2018-02-20,0.9980886799915776,1.0097852277655568
2018-02-21,0.9979532362771182,1.0047624812504161
2018-02-22,0.9981393810902199,1.0060645151662093
2018-02-23,0.9982440654879577,1.0221006764709784
2018-02-26,0.9982284499735362,1.0339695058652318
2018-02-27,0.9982284499735362,1.021058972146471
2018-02-28,0.9982069003807249,1.0107154541603143
2018-03-01,0.9981610454446433,0.9960190864624886
2018-03-02,0.9982812806069417,1.0011534395605006
2018-03-05,0.9983312561471378,1.0127247586113648
2018-03-06,0.9983286560677257,1.0152919029970904
2018-03-07,0.9983286560677257,1.0149199668229332
2018-03-08,0.9983286560677257,1.0198307207958381
2018-03-09,0.9983286560677257,1.0375786762082684
2018-03-12,0.9983286560677257,1.036276256333111
2018-03-13,0.9983286560677257,1.0295792824217769
2018-03-14,0.9983286560677257,1.0242958846825467
2018-03-15,0.9983286560677257,1.0231798831803929
2018-03-16,0.9982328659434122,1.0242891303936699
2018-03-19,0.9979697083285869,1.0104302945165855
2018-03-20,0.998011785365923,1.0121486499334416
2018-03-21,0.9984094179949864,1.0102059234727494
2018-03-22,0.9981899606800653,0.9849536314852272
2018-03-23,0.9953483564892167,0.963959822144779
2018-03-26,0.9981541098216223,0.9903330044530707
2018-03-27,0.9975178575689876,0.9734856852174606
2018-03-28,0.9972404498723932,0.9706090657480493
2018-03-29,0.998488918599477,0.9830112909838994
2018-04-02,0.9973953108205125,0.9617931749261758
2018-04-03,0.9984822359706601,0.9741206526984544
2018-04-04,0.999009040745757,0.984542906394948
2018-04-05,0.9990524688736427,0.9923129116658663
2018-04-06,0.9990461064921763,0.9701980190249664
2018-04-09,0.9991899222244196,0.9749799268967234
2018-04-10,0.9994669742287744,0.9904822420739706
2018-04-11,0.9994599989621882,0.9852898664181774
2018-04-12,0.9994599989621882,0.993396170948607
2018-04-13,0.9996058539844737,0.9904822420739706
2018-04-16,0.9995938587142258,0.9986255987033824
2018-04-17,0.9995938587142258,1.009309597175498
2018-04-18,0.9995938587142258,1.0100564928721667
2018-04-19,0.9995489936013118,1.004453456452655
2018-04-20,0.9992868492862385,0.9959359765460212
2018-04-23,0.9992391044395339,0.9957868675782424
2018-04-24,0.9991866964933184,0.9823761948497837
2018-04-25,0.9989720929182415,0.984804522517448
2018-04-26,0.9995130330523183,0.9948154078580552
2018-04-27,0.9997683374177739,0.9957494938464567
2018-04-30,0.9996735140858002,0.988091545444335
2018-05-01,0.9992532860951004,0.9898474032460983
2018-05-02,0.9990327335395873,0.9831982239693887
2018-05-03,0.9989121733155594,0.9810312551179818
2018-05-04,0.9996138216775725,0.9937322129018753
2018-05-07,0.9996541667093072,0.9970943692516981
2018-05-08,0.9995712025649194,0.9970943692516981
2018-05-09,0.9995551148696672,1.0067320318869335
2018-05-10,0.9999150206357802,1.016145709437697
2018-05-11,0.9998999769412098,1.0192463139915802
2018-05-14,0.9998999769412098,1.019731786545431
2018-05-15,0.9997935682056077,1.0127089342774245
2018-05-16,0.9996450094890675,1.0169676099041807
2018-05-17,0.9994923421357577,1.0161082713793508
2018-05-18,0.9996550731241518,1.0135680798225721
2018-05-21,0.9997793752798713,1.0211886544929083
2018-05-22,0.9997933087330733,1.018349601734965
2018-05-23,0.9999740616618368,1.021151216434562
2018-05-24,1.000066109767269,1.0190594453326518
2018-05-25,0.9988801265032153,1.016631246318109
2018-05-29,0.9973459686966625,1.0049391219861887
2018-05-30,1.0010481524724644,1.0183496017349654
2018-05-31,1.0002780192076675,1.0121112762016564
2018-06-01,1.0020704920188213,1.022047671384935
2018-06-04,1.003283835571323,1.0269040694140203
2018-06-05,1.0035875653148603,1.0276512224169323
2018-06-06,1.0048181145692177,1.0362426135418483
2018-06-07,1.0050822067251088,1.0361310712855376
2018-06-08,1.0054276267863687,1.0391943021076349
2018-06-11,1.0060663400153593,1.0405762296118581
2018-06-12,1.0070995446641398,1.0419213623233423
2018-06-13,1.0055443145250933,1.0385965797053054
2018-06-14,1.0073662385719553,1.0412108754600484
2018-06-15,1.0065804753445207,1.0398831752465227
2018-06-18,1.006050963793686,1.0377442527755953
