Date,CS_Momentum,BuyHold_SPY
2019-03-15,0.7970959462355656,1.071235867456424
2019-03-18,0.7920848291889673,1.0751196473875688
2019-03-19,0.7919233706046315,1.0753863452740557
2019-03-20,0.7905391184727711,1.0721496904606285
2019-03-21,0.7925056000849133,1.084259163960662
2019-03-22,0.8097584927732384,1.0633910514046336
2019-03-25,0.8103656163140568,1.0625915366841454
2019-03-26,0.802886883000157,1.070512193741283
2019-03-27,0.8021055093192387,1.0649144971464732
2019-03-28,0.7971055915495286,1.0689506666803887
2019-03-29,0.7908020533579975,1.0756911244795972
2019-04-01,0.7782973963677321,1.0884478517504532
2019-04-02,0.7782616555445996,1.088980990217217
2019-04-03,0.7753595436000598,1.090694520921567
2019-04-04,0.7695881052174393,1.0935888298228182
2019-04-05,0.7660999635127794,1.0988814899058765
2019-04-08,0.7651602665601939,1.0997199221906013
2019-04-09,0.7723344746523487,1.0940836296643175
2019-04-10,0.768992326483118,1.0978159848909785
2019-04-11,0.7642661557821185,1.0975110770323324
2019-04-12,0.7586792404167388,1.1049366769417608
2019-04-15,0.7577200635717514,1.104213517839039
2019-04-16,0.7444376357116379,1.104936676941761
2019-04-17,0.7411829699504402,1.1022332892482025
2019-04-18,0.7425937525516715,1.1044034098218924
2019-04-22,0.7372529405221234,1.1053555714513612
2019-04-23,0.7290607581782187,1.1152947957245998
2019-04-24,0.7366607740484146,1.1128193813329488
2019-04-25,0.7443125255343369,1.1121341748961766
2019-04-26,0.7531770574933924,1.1173128483282813
2019-04-29,0.7460770312611732,1.119064203045476
2019-04-30,0.7487294128797397,1.1196356801375043
2019-05-01,0.7544093068855283,1.1112198372795528
2019-05-02,0.7606392111317488,1.1088208428322208
2019-05-03,0.7602412019102684,1.1196737614565588
2019-05-06,0.7591858348311448,1.1150661791571677
2019-05-07,0.7651926364695627,1.0964449287519105
2019-05-08,0.7571640271943246,1.0949219332959381
2019-05-09,0.761623894975635,1.0916086012319821
2019-05-10,0.7633469319087073,1.097092439828943
2019-05-13,0.7814131665701974,1.0695220794458655
2019-05-14,0.7716116295849219,1.0791943485264075
2019-05-15,0.7750351932674423,1.0855159761425683
2019-05-16,0.7684879802196392,1.0955691870667608
2019-05-17,0.7741815997158749,1.0884860617226138
2019-05-20,0.7672863976705749,1.081288435115093
2019-05-21,0.7668849164014995,1.0910375100992689
2019-05-22,0.7837201724877676,1.0876866113286778
2019-05-23,0.8064287454773235,1.0743962309786386
2019-05-24,0.8009419320139551,1.0768334997246825
2019-05-28,0.8018345362268479,1.0668184987726494
2019-05-29,0.7964791140442251,1.0596593394434983
2019-05-30,0.8132679639410871,1.062553455365092
2019-05-31,0.8437231321334309,1.0482353296864468
2019-06-03,0.8515365069412212,1.0455698303322853
2019-06-04,0.8659128470230067,1.0682653315905126
2019-06-05,0.881392668208856,1.0775187061614546
2019-06-06,0.8805263208343633,1.0845254758878353
2019-06-07,0.889813252401791,1.0953785231652784
2019-06-10,0.902522423859694,1.1004051286273746
2019-06-11,0.9006383119415453,1.1001384307408877
2019-06-12,0.9071116380233208,1.0981965407753154
2019-06-13,0.9077767083464026,1.1027280890897024
2019-06-14,0.8978044099850473,1.1015094868799566
2019-06-17,0.9074751097975567,1.1019285100426617
2019-06-18,0.9139075897092569,1.1134665064506668
2019-06-19,0.9182132865207472,1.1159798735082673
2019-06-20,0.9172012804580126,1.1266425141904375
2019-06-21,0.9141784978466253,1.1250048888179869
2019-06-24,0.9015268624031282,1.1236271427174624
2019-06-25,0.8938483083871407,1.1126068464036312
2019-06-26,0.8931389632013363,1.1114969560675378
2019-06-27,0.8992795211178667,1.1154383725896844
