short_window,long_window,sharpe,mean_ann,vol_ann,max_drawdown,trades
10,100,1.1733621420771678,0.22125795284750802,0.1885674890241658,-0.26660192219136825,112.0
50,60,1.1440950718058294,0.23312578542582735,0.2037643471865181,-0.34870511708012586,172.0
40,100,1.1411897768569648,0.24078645128054554,0.21099597644811832,-0.2989523767071256,67.0
50,80,1.1402346555887277,0.24044634251955813,0.2108744382930639,-0.2989523767071255,79.0
10,200,1.1363977511887033,0.23290090301217975,0.20494664193814094,-0.27252939409155164,63.0
50,100,1.122330273714893,0.2403103828615668,0.2141173489565988,-0.30470007112101904,66.0
30,100,1.1167001204768319,0.2297463016472162,0.20573679310530954,-0.276689891043606,72.0
30,200,1.104149435115771,0.2403159532982176,0.21764803354993364,-0.3047000711210195,39.0
10,60,1.0943385335576148,0.19416550407810648,0.17742727512928616,-0.29479596024953725,183.0
50,120,1.093833909067271,0.2368995066349484,0.2165772195131126,-0.3087079434904778,53.0
15,100,1.0860510079964856,0.21031776702038862,0.19365367323619223,-0.2665048018980758,95.0
40,200,1.0804820243400224,0.2375841096474703,0.21988714693573072,-0.30870794349047825,37.0
20,80,1.078359144572665,0.21135346810084435,0.19599543358497698,-0.3511111516790142,105.0
50,150,1.0750362528706654,0.23512921247463625,0.21871747287291154,-0.30870794349047803,45.0
40,120,1.0747411444537271,0.22924395473198877,0.2133015525785138,-0.2989523767071255,59.0
20,60,1.0731019520266398,0.2009100001049652,0.18722359019618817,-0.3598131886360757,146.0
15,200,1.072071851193034,0.22477895087095845,0.20966780409430358,-0.29053198217082754,55.0
10,80,1.0694555696330958,0.19526976770101287,0.1825880132336916,-0.3376994201266258,144.0
15,60,1.0656606628368985,0.1941948543997776,0.18222954189076557,-0.3408798890241833,158.0
40,80,1.0635821555697926,0.22274997483007555,0.2094337270173001,-0.30281538105945327,89.0
30,80,1.0499243101378173,0.2116125857101472,0.2015503247870983,-0.3688717149297164,89.0
40,150,1.0473712190608966,0.2279610076694206,0.2176506319066291,-0.30870794349047803,45.0
30,120,1.0393058166133438,0.21856254616702475,0.21029666405527034,-0.2989523767071256,65.0
10,120,1.0249156144867335,0.20140607577353414,0.1965099105982458,-0.282540008775108,93.0
20,120,1.0240142730566313,0.20685575773706077,0.20200476026531028,-0.29053198217082843,75.0
20,150,1.0220162447197794,0.21331041588387045,0.20871528900439032,-0.2766898910436061,71.0
15,80,1.0197931548525572,0.19220141487849987,0.18847097959417916,-0.367157540139345,117.0
30,60,1.014447322105441,0.19694258993305186,0.19413781833866553,-0.3818581810611361,142.0
10,150,1.0136521132790215,0.20255604867830168,0.19982797453365084,-0.33966226360089724,89.0
20,100,1.0026378653119865,0.1994853307659511,0.19896049976516508,-0.31297678085062697,89.0
20,200,1.0021111737033959,0.21616254335806986,0.21570714809936795,-0.30350598531092865,55.0
50,200,0.9971067987566639,0.22044252567898298,0.2210821608616674,-0.3087079434904779,37.0
40,60,0.9967605309937652,0.19822966876661027,0.19887391464926515,-0.435687353620264,142.0
15,150,0.994548899045269,0.20151438219891832,0.2026188781590979,-0.3039697837658062,75.0
15,120,0.9924235030988808,0.19705333534393768,0.19855770719721066,-0.30086578339566805,91.0
30,150,0.9910433892749417,0.2125455759488048,0.21446646862182844,-0.2989523767071255,55.0
